127.0.0.1 - - [17/Jan/2018:13:23:41 +0800] "GET / HTTP/1.1" 200 834 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
192.168.112.13 - - [17/Jan/2018:13:42:50 +0800] "GET /hls/out053.ts HTTP/1.1" 206 4593592 "http://192.168.1.226/hls/out.m3u8" "Mozilla/5.0 (Linux; Android 7.0; SM-G9350 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN"
192.168.112.13 - - [17/Jan/2018:13:42:52 +0800] "GET /hls/out054.ts HTTP/1.1" 206 5306864 "http://192.168.1.226/hls/out.m3u8" "Mozilla/5.0 (Linux; Android 7.0; SM-G9350 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN"
192.168.112.13 - - [17/Jan/2018:13:42:56 +0800] "GET /hls/out055.ts HTTP/1.1" 206 6316988 "http://192.168.1.226/hls/out.m3u8" "Mozilla/5.0 (Linux; Android 7.0; SM-G9350 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN"
192.168.112.13 - - [17/Jan/2018:13:42:58 +0800] "GET /hls/out056.ts HTTP/1.1" 206 6417944 "http://192.168.1.226/hls/out.m3u8" "Mozilla/5.0 (Linux; Android 7.0; SM-G9350 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN"
192.168.112.13 - - [17/Jan/2018:13:43:02 +0800] "GET /hls/out057.ts HTTP/1.1" 206 6034612 "http://192.168.1.226/hls/out.m3u8" "Mozilla/5.0 (Linux; Android 7.0; SM-G9350 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN"
192.168.112.13 - - [17/Jan/2018:13:43:06 +0800] "GET /hls/out058.ts HTTP/1.1" 206 7053572 "http://192.168.1.226/hls/out.m3u8" "Mozilla/5.0 (Linux; Android 7.0; SM-G9350 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN"
192.168.112.13 - - [17/Jan/2018:13:43:08 +0800] "GET /hls/out059.ts HTTP/1.1" 206 5574764 "http://192.168.1.226/hls/out.m3u8" "Mozilla/5.0 (Linux; Android 7.0; SM-G9350 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN"
192.168.112.13 - - [17/Jan/2018:13:43:17 +0800] "GET /hls/out060.ts HTTP/1.1" 206 5635300 "http://192.168.1.226/hls/out.m3u8" "Mozilla/5.0 (Linux; Android 7.0; SM-G9350 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN"
192.168.112.13 - - [17/Jan/2018:13:43:19 +0800] "GET /hls/out061.ts HTTP/1.1" 206 6685092 "http://192.168.1.226/hls/out.m3u8" "Mozilla/5.0 (Linux; Android 7.0; SM-G9350 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN"
192.168.112.13 - - [17/Jan/2018:13:43:21 +0800] "GET /hls/out062.ts HTTP/1.1" 206 6693740 "http://192.168.1.226/hls/out.m3u8" "Mozilla/5.0 (Linux; Android 7.0; SM-G9350 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN"
